what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1299893894614
started,bundle,org.eclipse.osgi,3.5.0.v20090520,"org.eclipse.osgi",1299893894615
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1299893894616
started,bundle,com.ibm.icu,4.0.1.v20090415,"com.ibm.icu",1299893894616
started,bundle,org.eclipse.core.contenttype,3.4.0.v20090429-1800,"org.eclipse.core.contenttype",1299893894617
started,bundle,org.eclipse.core.databinding.observable,1.2.0.I20090604-2000,"org.eclipse.core.databinding.observable",1299893894627
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1299893894628
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1299893894629
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1299893894632
started,bundle,org.eclipse.core.net,1.2.0.I20090522-1010,"org.eclipse.core.net",1299893894633
started,bundle,org.eclipse.core.resources,3.5.0.v20090512,"org.eclipse.core.resources",1299893894634
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1299893894634
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1299893894635
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1299893894636
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1299893894637
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.filetransfer",1299893894638
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1299893894639
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1299893894640
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1299893894640
started,bundle,org.eclipse.equinox.app,1.2.0.v20090520-1800,"org.eclipse.equinox.app",1299893894641
started,bundle,org.eclipse.equinox.common,3.5.0.v20090520-1800,"org.eclipse.equinox.common",1299893894641
started,bundle,org.eclipse.equinox.ds,1.1.0.v20090601,"org.eclipse.equinox.ds",1299893894642
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1299893894642
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin.equinox",1299893894643
started,bundle,org.eclipse.equinox.p2.core,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.core",1299893894643
started,bundle,org.eclipse.equinox.p2.director,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.director",1299893894644
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1299893894645
started,bundle,org.eclipse.equinox.p2.engine,1.0.100.v20090525,"org.eclipse.equinox.p2.engine",1299893894645
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1299893894645
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1299893894646
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata.repository",1299893894646
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1299893894647
started,bundle,org.eclipse.equinox.p2.repository,1.0.0.v20090601-1921,"org.eclipse.equinox.p2.repository",1299893894647
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1299893894648
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1299893894648
started,bundle,org.eclipse.equinox.preferences,3.2.300.v20090520-1800,"org.eclipse.equinox.preferences",1299893894649
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1299893894649
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1299893894650
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator.manipulator",1299893894652
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1299893894653
started,bundle,org.eclipse.help,3.4.0.v20090526,"org.eclipse.help",1299893894653
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1299893894676
started,bundle,org.eclipse.jface,3.5.0.I20090525-2000,"org.eclipse.jface",1299893894676
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1299893894677
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1299893894687
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1299893894688
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1299893894688
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1299893894689
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1299893894690
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1299893894695
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1299893894696
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1299893894696
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1299893894697
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1299893894701
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1299893894701
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1299893894702
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1299893894702
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1299893894703
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1299893894708
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1299893894708
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1299893894709
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1299893894709
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1299893894709
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1299893894709
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1299893894709
started,bundle,org.eclipse.jdt.core,3.5.1.v_972_R35x,"org.eclipse.jdt.core",1299893894726
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1299893894729
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1299893894730
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1299893894731
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1299893894731
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1299893894731
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1299893894732
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1299893894733
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1299893894733
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1299893894734
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1299893894735
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1299893894735
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1299893894735
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1299893894736
os,sysinfo,,,"linux",1299893894740
arch,sysinfo,,,"x86_64",1299893894740
ws,sysinfo,,,"gtk",1299893894740
locale,sysinfo,,,"en_CA",1299893894740
processors,sysinfo,,,"2",1299893894741
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1299893894741
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1299893894741
java.specification.name,sysinfo,,,"Java Platform API Specification",1299893894741
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299893894741
java.specification.version,sysinfo,,,"1.6",1299893894741
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299893894741
java.version,sysinfo,,,"1.6.0_20",1299893894741
java.vm.info,sysinfo,,,"mixed mode",1299893894741
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1299893894741
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299893894741
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299893894741
java.vm.specification.version,sysinfo,,,"1.0",1299893894741
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299893894741
java.vm.version,sysinfo,,,"19.0-b09",1299893894741
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1299893894831
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1299893894863
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1299893894914
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1299893912679
started,bundle,org.epic.perleditor,0.5.38,"org.epic.perleditor",1299893916923
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1299893916962
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1299893952901
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1299893954941
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1299893956352
stopped,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1299893957139
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1299893957146
stopped,bundle,org.maven.doxia.ide.eclipse,0.9.8.200905041414,"org.maven.doxia.ide.eclipse",1299893957147
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1299893957152
stopped,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1299893957154
stopped,bundle,org.maven.ide.eclipse.editor.xml,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor.xml",1299893957155
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1299893957156
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1299893957157
stopped,bundle,com.sysdeo.eclipse.tomcat,3.2.1,"com.sysdeo.eclipse.tomcat",1299893957158
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1299893957159
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1299893957160
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1299893957160
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1299893957161
stopped,bundle,org.maven.ide.eclipse.launching,0.10.0.20100209-0800,"org.maven.ide.eclipse.launching",1299893957162
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1299893957163
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1299893957164
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1299893957165
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,"org.tigris.subversion.subclipse.graph",1299893957165
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1299893957166
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1299893957167
stopped,bundle,net.sf.fjep.fatjar,0.0.31,"net.sf.fjep.fatjar",1299893957168
stopped,bundle,to.etc.eclipse.colorplugin,1.0.3,"to.etc.eclipse.colorplugin",1299893957169
stopped,bundle,org.maven.ide.eclipse.jdt,0.10.0.20100209-0800,"org.maven.ide.eclipse.jdt",1299893957169
stopped,bundle,org.maven.ide.eclipse.refactoring,0.10.0.20100209-0800,"org.maven.ide.eclipse.refactoring",1299893957170
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1299893957170
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1299893957170
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ui",1299893957171
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1299893957171
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.resources.ui",1299893957171
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091215-0000-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1299893957231
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1299893957232
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.help.ui",1299893957254
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.bugs",1299893957281
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1299893957281
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1299893957314
stopped,bundle,org.maven.ide.eclipse,0.10.0.20100209-0800,"org.maven.ide.eclipse",1299893957315
stopped,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1299893957315
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1299893957339
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1299893957345
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1299893957349
stopped,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1299893957371
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1299893957375
stopped,bundle,org.epic.debug,0.5.30,"org.epic.debug",1299893957376
stopped,bundle,org.epic.perleditor,0.5.38,"org.epic.perleditor",1299893957376
stopped,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1299893957378
stopped,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1299893957380
stopped,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1299893957380
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.2.0.v20091215-0000-e3x,"org.eclipse.mylyn.wikitext.ui",1299893957400
stopped,bundle,org.epic.regexp,0.5.1,"org.epic.regexp",1299893957431
stopped,bundle,net.sourceforge.sqlexplorer,3.6.1.v20110108_SR1,"net.sourceforge.sqlexplorer",1299893957432
stopped,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1299893957432
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1299893957445
stopped,bundle,org.eclipse.wst.common.snippets,1.1.301.v201001280015,"org.eclipse.wst.common.snippets",1299893957448
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1299893957448
stopped,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1299893957449
stopped,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1299893957463
stopped,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1299893957473
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1299893957486
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1299893957486
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1299893957501
stopped,bundle,org.eclipse.equinox.security.ui,1.0.100.v20090520-1800,"org.eclipse.equinox.security.ui",1299893957515
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1299893957520
stopped,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1299893957526
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1299893957536
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1299893957536
stopped,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1299893957546
stopped,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1299893957560
stopped,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1299893957577
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1299893957593
stopped,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1299893957598
